,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament
2765,2,appartamento in edificio medio,Abbastanza isolata,31,115,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,1,0,4,0,389,0,0,0
2766,2,casa plurifamiliare,Poco isolata,25,90,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,2,0,7,0,889,0,0,0
2767,2,casa unifamiliare,Ben isolata,23,103,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,8,8,16,0,689,0,0,0
2768,0,appartamento in edificio piccolo,Abbastanza isolata,39,66,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,5,0,13,0,489,0,0,0
2769,0,appartamento in edificio medio,Ben isolata,3,68,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,2,0,3,0,289,0,0,0
2770,1,casa plurifamiliare,Poco isolata,9,95,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,2,0,3,0,489,0,0,0
2771,0,appartamento in edificio piccolo,Abbastanza isolata,50,89,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,8,0,13,0,389,0,0,0
2772,1,casa plurifamiliare,Poco isolata,72,319,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,4,2,6,0,1089,0,0,0
2773,0,casa unifamiliare,Abbastanza isolata,49,334,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,5,0,7,0,789,0,0,0
2774,0,appartamento in edificio piccolo,Poco isolata,36,78,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,6,0,10,0,1089,0,0,0
2775,1,casa plurifamiliare,Ben isolata,48,92,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,3,0,5,0,589,0,0,0
2776,0,casa plurifamiliare,Abbastanza isolata,39,76,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,8,1,11,0,589,0,0,0
2777,1,casa unifamiliare,Abbastanza isolata,42,99,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,4,1,8,0,1089,0,0,0
2778,1,casa plurifamiliare,Abbastanza isolata,19,277,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,5,0,7,0,889,0,4,4
2779,1,appartamento in edificio piccolo,Ben isolata,22,72,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,6,0,7,0,489,0,0,0
2780,0,casa plurifamiliare,Abbastanza isolata,24,69,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,8,0,12,0,289,0,0,0
